"state","Year","Month","Avg_Natural_Cause","Avg_Septicemia","Avg_Malignant_neoplasms","Avg_Diabetes_mellitus","Avg_Alzheimer_disease","Avg_Influenza_and_pneumonia","Avg_Chronic_lower_respiratory_diseases","Avg_Other_diseases_of_respiratory_system","Avg_Nephritis_nephrotic_syndrom_and_nephrosis","Avg_Symptoms_signs_abnormal_clinical_laboratory_findings","Avg_Diseases_of_heart","Avg_Cerebrovascular_diseases","Avg_COVID-19 (Underlying Cause of Death)","Avg_COVID-19 (Multiple Cause of Death)"
"North Carolina",2021,8,2124,32,405,73,77,30,84,36,43,28,413,96,327,346
"Idaho",2022,2,348,NULL,59,11,17,NULL,18,NULL,NULL,NULL,67,15,62,78
"United States",2022,4,51995,765,11408,1801,2080,765,2689,883,1078,950,12819,3078,893,1518
"Illinois",2021,1,2566,38,437,69,93,41,92,30,56,27,546,135,497,553
"Nebraska",2021,2,312,NULL,57,12,13,NULL,16,NULL,NULL,NULL,70,16,22,31
"Iowa",2021,4,550,11,117,17,20,11,34,NULL,12,10,141,23,19,26
"Kentucky",2021,3,959,19,207,37,30,12,57,17,23,14,215,48,72,93
"Massachusetts",2021,6,954,12,240,26,30,14,43,15,21,12,213,35,19,22
"Iowa",2020,4,567,13,129,18,30,13,27,NULL,12,13,127,26,30,31
"Oregon",2022,9,534,NULL,120,20,30,NULL,22,15,NULL,29,99,39,13,21
"Maryland",2022,2,1057,18,206,35,24,14,33,11,16,10,241,72,118,161
"Arkansas",2020,3,596,12,123,20,33,19,50,11,15,NULL,150,29,0,0
"Wisconsin",2021,10,1158,12,225,31,48,14,50,14,18,12,250,55,150,171
"Washington",2020,9,1062,10,260,34,72,11,48,12,12,13,232,51,34,41
"Minnesota",2020,5,936,10,179,30,56,11,40,13,NULL,19,159,42,146,158
"Pennsylvania",2021,4,2534,44,529,78,74,29,102,40,59,37,601,136,245,284
"Washington",2021,8,1186,11,271,35,68,13,52,17,NULL,17,237,56,124,139
"Utah",2020,6,351,NULL,65,18,21,NULL,18,NULL,NULL,NULL,76,20,13,15
"Nevada",2020,11,587,NULL,101,17,16,NULL,30,NULL,NULL,NULL,136,29,110,116
"Wisconsin",2022,1,1393,13,215,34,57,15,56,13,18,10,301,64,288,341
"Oklahoma",2020,12,1199,16,153,36,38,10,57,10,14,NULL,253,38,400,447
"North Dakota",2021,8,119,0,25,NULL,NULL,NULL,NULL,NULL,NULL,0,23,NULL,NULL,10
"Maryland",2020,3,943,21,207,29,21,32,52,12,15,NULL,231,60,6,6
"North Carolina",2021,9,2418,30,393,77,79,34,94,37,44,23,429,111,599,630
"South Carolina",2021,4,949,13,190,30,44,10,48,15,15,14,214,52,70,78
"North Dakota",2020,1,142,NULL,27,NULL,11,NULL,10,0,0,0,30,11,6,6
"Florida",2021,11,4046,51,900,148,119,52,195,56,70,72,933,304,178,216
"Ohio",2021,6,2110,39,464,71,79,22,114,38,41,25,547,128,60,80
"Connecticut",2022,9,485,NULL,102,10,14,12,22,13,11,47,100,19,17,24
"Tennessee",2020,12,2056,26,278,60,82,29,87,24,25,19,400,91,547,590
"New York",2021,9,1479,20,309,42,31,36,52,29,22,27,385,58,125,140
"Montana",2020,7,173,0,38,11,10,0,15,0,NULL,0,44,NULL,11,12
"Ohio",2021,8,2319,37,501,76,89,27,127,44,42,28,563,125,154,171
"Minnesota",2022,7,799,12,195,26,36,NULL,39,12,13,21,165,37,22,40
"Hawaii",2021,7,205,NULL,47,11,12,NULL,NULL,NULL,NULL,NULL,49,18,NULL,NULL
"Colorado",2022,7,746,11,160,20,30,NULL,38,12,11,35,150,42,23,42
"California",2021,10,5580,36,1166,207,312,82,215,54,87,45,1211,360,606,656
"Utah",2020,11,451,NULL,68,16,23,0,18,NULL,11,NULL,89,17,84,97
"Tennessee",2021,5,1418,19,288,51,52,21,91,22,22,16,348,65,92,104
"Iowa",2022,7,536,NULL,114,16,18,NULL,31,12,10,10,146,26,18,29
"Delaware",2020,6,164,NULL,36,NULL,10,0,13,0,NULL,0,33,13,20,17
"Puerto Rico",2020,10,577,14,101,57,49,17,19,12,19,10,98,23,35,42
"Puerto Rico",2020,8,621,15,106,61,54,17,19,11,18,13,116,25,40,44
"Ohio",2021,2,2679,41,495,97,111,34,112,40,46,32,606,147,352,423
"New Hampshire",2020,8,213,NULL,50,13,10,NULL,14,NULL,NULL,NULL,52,11,0,NULL
"Montana",2021,5,183,0,47,NULL,NULL,0,12,NULL,NULL,0,40,NULL,0,10
"Texas",2020,7,5417,71,802,172,253,56,199,48,97,43,1067,226,1359,1436
"Mississippi",2020,1,668,NULL,119,21,38,19,48,12,18,10,165,34,51,59
"New Hampshire",2022,5,233,NULL,53,10,NULL,0,16,NULL,0,NULL,55,10,NULL,13
"Puerto Rico",2021,1,634,15,97,65,54,18,20,12,22,10,113,31,45,52
"Nebraska",2021,11,383,NULL,67,15,16,NULL,20,NULL,NULL,NULL,80,19,53,59
"Hawaii",2020,1,213,NULL,41,10,12,12,10,NULL,NULL,NULL,53,15,0,0
"South Dakota",2021,4,143,NULL,30,NULL,10,NULL,NULL,0,NULL,0,30,11,NULL,10
"Pennsylvania",2022,8,2336,47,534,61,64,25,103,41,55,134,540,109,77,117
"Georgia",2021,3,1748,35,338,60,76,22,85,39,35,20,404,93,156,184
"New Mexico",2020,7,368,NULL,70,16,15,NULL,20,NULL,NULL,NULL,77,17,32,34
"Tennessee",2020,7,1444,19,295,45,66,26,73,20,21,16,338,75,106,115
"Vermont",2021,4,101,NULL,25,0,NULL,0,0,0,0,0,28,0,NULL,NULL
"Wyoming",2020,1,100,0,20,0,NULL,NULL,12,0,0,0,23,NULL,4,6
"South Carolina",2020,6,945,13,194,35,47,12,54,17,19,NULL,200,54,57,64
"Washington",2021,6,1096,13,267,38,63,11,49,14,11,13,234,62,41,49
"Missouri",2020,2,1233,22,260,34,56,37,84,35,40,NULL,315,65,0,0
"Colorado",2022,5,756,11,163,19,39,13,52,15,11,11,160,41,16,23
"Oregon",2021,12,823,NULL,173,29,37,13,41,12,13,12,163,52,63,77
"Nevada",2021,11,602,NULL,106,14,16,12,32,NULL,11,NULL,144,28,101,108
"Wyoming",2020,6,82,0,19,0,NULL,0,NULL,0,0,0,20,NULL,0,0
"District of Columbia",2022,6,105,NULL,22,0,0,NULL,NULL,0,0,NULL,27,15,NULL,NULL
"Pennsylvania",2020,11,3040,40,531,82,102,45,117,43,59,51,657,145,513,570
"Nebraska",2022,5,296,NULL,60,15,15,0,12,NULL,NULL,NULL,60,19,10,13
"Florida",2022,8,4212,53,897,132,119,48,206,50,70,274,899,311,217,330
"Vermont",2021,9,119,0,25,NULL,NULL,0,NULL,0,0,0,31,NULL,12,12
"Louisiana",2020,1,917,22,175,32,45,20,50,20,20,14,242,51,48,52
"North Dakota",2022,5,131,0,30,NULL,NULL,NULL,NULL,0,0,0,34,NULL,NULL,NULL
"South Carolina",2020,12,1228,20,206,44,46,12,53,20,20,11,236,56,216,238
"District of Columbia",2020,2,107,NULL,21,NULL,NULL,0,0,0,0,0,30,10,0,0
"Texas",2020,8,5098,60,798,165,257,65,189,54,77,37,978,216,1221,1292
"Missouri",2021,3,1200,18,255,34,46,16,63,30,29,13,298,65,64,75
"Nebraska",2021,10,378,NULL,73,13,12,NULL,20,NULL,NULL,NULL,78,18,49,57
"Missouri",2020,5,1205,18,245,32,53,17,71,26,33,13,289,63,89,96
"Kansas",2021,12,643,10,105,19,17,12,33,11,14,15,130,31,108,116
"Florida",2022,3,4175,54,923,146,122,55,209,60,80,95,990,312,206,287
"Illinois",2021,10,2120,33,458,59,80,32,84,29,50,23,492,131,189,209
"Pennsylvania",2022,7,2331,45,528,59,62,27,105,48,55,93,563,118,63,101
"New York",2022,3,1437,21,308,45,29,33,50,32,27,29,400,66,50,81
"Wisconsin",2020,1,1058,14,218,30,51,19,66,13,19,10,246,58,63,77
"Pennsylvania",2021,1,3542,49,540,98,98,44,122,47,62,46,701,139,923,1027
"Arizona",2021,5,1140,10,239,42,51,15,63,17,16,11,269,55,46,55
"Oklahoma",2021,3,753,NULL,147,27,26,11,44,NULL,12,NULL,219,33,58,74
"Arkansas",2021,6,606,12,125,22,24,12,42,11,17,NULL,156,32,23,27
"Utah",2021,8,404,NULL,71,16,18,NULL,18,NULL,NULL,NULL,80,18,51,54
"Alabama",2021,2,1304,23,198,28,62,20,59,21,18,20,317,69,231,249
"Minnesota",2020,9,835,12,197,28,49,NULL,37,12,16,18,164,45,42,53
"Oklahoma",2022,8,743,10,150,21,26,12,48,12,NULL,81,182,32,31,55
"Connecticut",2021,1,783,12,133,20,26,10,22,13,14,10,140,32,190,210
"Wisconsin",2021,4,908,10,209,31,37,10,42,13,16,NULL,230,48,31,44
"Mississippi",2021,5,598,10,126,24,30,13,38,12,12,NULL,157,33,27,36
"Pennsylvania",2021,10,2872,47,531,78,78,44,107,45,58,44,638,129,450,496
"California",2021,9,5868,37,1171,212,324,82,215,55,90,48,1158,343,960,1031
"Texas",2020,5,3865,65,784,141,206,61,200,57,83,28,911,215,208,221
"New Mexico",2020,1,396,NULL,66,14,13,14,27,NULL,NULL,0,92,17,36,38
"Missouri",2020,8,1241,18,267,34,51,19,69,26,31,11,288,66,91,103
"Oregon",2020,7,664,NULL,157,28,37,10,37,13,10,12,131,40,20,22
"Nevada",2022,5,499,NULL,105,12,17,11,31,NULL,NULL,10,137,29,17,16
"North Dakota",2021,11,165,NULL,26,NULL,13,NULL,NULL,NULL,NULL,0,29,NULL,36,40
"Kentucky",2021,6,907,16,202,28,28,13,59,20,22,13,220,41,29,37
"Oklahoma",2022,7,770,NULL,160,29,27,NULL,49,NULL,10,81,203,28,23,37
"Oklahoma",2021,7,750,12,165,26,27,12,53,13,12,NULL,212,37,43,50
"Missouri",2022,6,1172,18,253,32,42,19,72,21,37,11,311,59,20,29
"Idaho",2020,2,259,0,54,12,12,NULL,18,NULL,NULL,NULL,61,15,0,0
"United States",2020,10,56031,735,11555,1881,2499,754,2611,792,958,610,12815,3046,4832,5460
"Idaho",2021,9,413,NULL,55,18,19,NULL,18,NULL,NULL,NULL,68,16,126,134
"Connecticut",2021,9,590,14,132,14,24,10,20,19,18,10,118,24,40,44
"North Dakota",2020,8,123,NULL,26,NULL,10,0,NULL,0,NULL,NULL,27,10,14,14
"District of Columbia",2020,3,107,0,26,NULL,0,NULL,NULL,0,0,0,25,11,0,0
"Iowa",2021,1,706,10,121,18,25,10,30,10,12,13,157,27,130,154
"Oregon",2020,11,773,NULL,159,29,42,NULL,32,14,NULL,14,149,43,64,74
"Connecticut",2022,1,846,12,131,15,26,11,22,14,18,14,156,30,209,238
"Nevada",2020,1,571,NULL,102,18,17,13,37,NULL,12,NULL,160,31,55,57
"Montana",2020,6,171,NULL,43,NULL,NULL,NULL,12,NULL,0,0,43,11,NULL,NULL
"Louisiana",2020,9,929,23,177,37,47,12,39,18,19,13,219,52,91,103
"Missouri",2020,9,1291,17,258,33,49,18,69,27,29,15,303,74,132,146
"New Mexico",2021,10,419,NULL,66,18,13,NULL,17,11,10,NULL,82,17,69,74
"Wyoming",2020,9,95,0,19,NULL,NULL,NULL,NULL,0,NULL,NULL,26,NULL,NULL,NULL
"Michigan",2021,4,2085,17,395,64,74,24,97,23,38,13,503,111,328,369
"Tennessee",2021,3,1442,27,278,49,53,22,79,18,21,17,351,72,114,132
"Montana",2022,9,172,0,43,10,NULL,NULL,13,NULL,0,10,40,NULL,NULL,10
"New Mexico",2020,4,369,NULL,69,17,16,NULL,24,11,NULL,NULL,79,17,31,35
"Minnesota",2021,5,823,11,191,30,40,NULL,42,13,14,18,151,42,49,59
"Illinois",2020,11,2794,30,454,75,96,35,101,26,51,32,553,143,688,767
"Arkansas",2021,2,749,13,116,30,35,13,49,10,14,NULL,176,39,107,123
"Ohio",2020,11,2998,39,490,100,127,30,135,36,37,39,617,152,610,685
"Massachusetts",2021,3,1086,19,242,31,29,15,44,21,21,13,231,50,77,93
"Puerto Rico",2022,1,795,14,104,78,64,25,25,NULL,28,NULL,132,31,131,146
"District of Columbia",2020,1,123,NULL,24,0,0,NULL,NULL,0,0,0,31,12,6,7
"Ohio",2021,3,2262,43,473,80,86,31,108,40,45,27,554,126,142,185
"Maryland",2021,1,1248,19,205,36,26,16,38,12,16,6,251,70,275,313
"Vermont",2022,4,105,0,25,NULL,NULL,0,NULL,NULL,0,0,32,NULL,NULL,10
"Kansas",2022,5,480,NULL,98,14,16,NULL,29,10,11,16,117,23,10,12
"Montana",2021,9,268,NULL,46,NULL,12,0,13,NULL,NULL,0,50,10,59,65
"Iowa",2020,8,598,NULL,115,20,26,NULL,26,12,10,10,144,27,53,60
"Hawaii",2020,12,206,NULL,41,NULL,11,NULL,10,NULL,NULL,NULL,55,16,13,13
"North Dakota",2021,6,125,NULL,24,NULL,NULL,NULL,11,0,0,0,35,13,NULL,NULL
"Maryland",2021,4,975,16,196,30,19,12,34,15,14,NULL,237,62,104,125
"Florida",2022,5,3908,56,872,131,115,52,212,56,68,104,907,303,72,115
"Louisiana",2020,11,953,26,180,33,43,10,40,20,20,11,240,46,99,109
"Florida",2021,6,3909,56,870,139,120,45,204,46,60,62,940,285,178,201
"Puerto Rico",2021,3,577,16,97,65,54,16,20,11,22,0,106,26,13,15
"Florida",2020,12,4610,53,891,155,144,54,232,51,61,70,995,331,592,655
"Alaska",2022,7,89,0,20,NULL,NULL,0,NULL,0,0,NULL,23,NULL,NULL,NULL
"Vermont",2020,5,103,0,23,NULL,NULL,0,NULL,0,0,0,27,NULL,0,0
"Mississippi",2021,9,887,NULL,132,30,33,13,42,14,18,NULL,175,36,246,269
"Nebraska",2022,6,281,NULL,60,12,18,NULL,17,NULL,NULL,10,62,14,NULL,NULL
"Florida",2021,10,4478,61,893,144,120,55,202,57,61,70,926,299,620,695
"Colorado",2021,3,751,10,148,21,41,NULL,40,14,11,NULL,165,42,34,47
"Washington",2021,9,1368,10,258,42,74,11,52,16,13,14,239,66,263,286
"Kansas",2022,6,473,NULL,95,16,15,NULL,29,10,12,16,113,23,12,16
"Pennsylvania",2020,2,2557,46,561,77,81,67,140,52,63,48,662,135,0,0
"Washington",2020,6,973,14,225,36,65,11,50,14,10,11,213,56,30,37
"United States",2021,6,50915,728,11471,1804,2052,659,2606,848,963,607,12482,2903,1609,1955
"United States",2020,12,76164,844,11684,2300,2954,948,2919,928,1066,727,14621,3411,19438,21315
"Ohio",2022,3,2291,35,463,84,96,32,119,44,51,29,562,135,118,167
"Minnesota",2020,11,1180,13,194,26,53,10,40,18,13,25,180,47,299,337
"Mississippi",2021,7,622,NULL,130,28,29,14,38,14,15,NULL,158,31,48,48
"Minnesota",2020,10,905,11,199,27,42,NULL,42,11,12,23,156,40,93,107
"Maryland",2021,2,1121,20,183,37,25,10,34,12,16,0,260,71,184,214
"Georgia",2021,5,1649,33,335,45,71,16,81,45,46,23,383,105,79,93
"North Dakota",2020,7,118,0,23,NULL,10,NULL,NULL,0,0,0,26,NULL,NULL,10
"Maryland",2021,8,859,14,198,29,19,12,35,13,11,NULL,204,56,38,47
"Vermont",2022,7,105,0,25,NULL,NULL,0,NULL,NULL,0,0,28,NULL,0,NULL
"Rhode Island",2021,1,267,0,40,NULL,13,0,NULL,0,NULL,NULL,55,13,72,86
"Wyoming",2022,8,91,NULL,17,0,NULL,0,10,NULL,0,NULL,19,NULL,NULL,NULL
"Georgia",2021,7,1626,32,362,51,75,25,89,38,46,22,381,89,54,65
"Ohio",2022,7,2200,37,475,74,82,25,117,42,41,99,519,128,62,96
"Minnesota",2022,8,800,12,199,28,35,NULL,33,13,13,23,161,40,22,38
"Florida",2022,7,4112,53,875,144,117,46,196,51,76,207,900,311,208,311
"Minnesota",2021,8,813,13,196,31,37,NULL,38,13,10,18,158,50,29,34
"District of Columbia",2020,6,119,NULL,19,0,0,0,NULL,0,0,0,26,10,27,28
"South Dakota",2021,6,135,NULL,29,NULL,NULL,0,11,0,0,0,31,10,NULL,NULL
"Oklahoma",2021,6,713,NULL,155,28,26,12,48,12,11,NULL,217,35,20,27
"Alaska",2021,9,124,0,21,NULL,NULL,0,10,0,0,0,21,NULL,37,41
"Rhode Island",2020,5,289,0,45,NULL,16,0,11,NULL,NULL,0,45,NULL,98,110
"North Dakota",2022,9,103,NULL,19,NULL,NULL,0,NULL,0,NULL,NULL,24,0,NULL,10
"Colorado",2020,3,748,12,158,20,41,18,57,14,12,NULL,157,42,19,21
"Georgia",2020,5,1766,34,334,51,102,24,95,44,38,24,386,85,176,197
"Tennessee",2020,8,1516,19,284,53,72,24,83,19,24,15,346,76,154,169
"Alabama",2022,7,999,22,189,26,48,12,53,20,22,33,269,56,41,53
"Wisconsin",2021,7,913,14,212,31,41,11,45,13,15,NULL,230,52,13,15
"Washington",2020,5,1019,12,242,34,62,14,48,13,10,13,216,55,57,65
"Illinois",2021,6,1865,29,422,59,65,26,90,27,47,23,449,115,80,89
"Kentucky",2022,5,865,17,189,24,25,13,57,21,22,11,213,42,19,37
"Virginia",2021,2,1683,23,314,52,60,20,56,25,36,13,322,83,288,322
"South Dakota",2020,7,150,0,34,10,10,NULL,10,0,0,NULL,30,NULL,13,14
"Georgia",2022,6,1569,32,357,44,68,23,84,42,43,32,373,94,27,41
"Utah",2020,10,381,NULL,69,14,19,NULL,16,NULL,11,NULL,85,18,35,41
"South Dakota",2020,3,157,NULL,37,10,12,NULL,12,NULL,0,0,34,12,0,0
"Ohio",2020,8,2355,34,495,76,106,29,115,38,42,28,575,132,164,181
"North Carolina",2021,6,1738,34,390,73,66,24,82,36,42,23,385,90,53,65
"District of Columbia",2021,3,113,NULL,23,0,0,0,0,0,0,NULL,29,11,14,14
"North Carolina",2022,8,1837,24,372,60,76,22,89,30,34,125,354,119,71,110
"Montana",2021,12,234,NULL,40,11,10,NULL,14,NULL,NULL,0,57,11,32,37
"West Virginia",2022,4,445,0,84,19,16,13,30,NULL,15,23,99,21,13,19
"Idaho",2021,10,446,NULL,60,13,18,NULL,20,NULL,NULL,NULL,74,16,141,154
"Hawaii",2020,7,204,0,53,NULL,11,NULL,NULL,NULL,NULL,NULL,46,16,0,NULL
"United States",2022,3,55531,812,11493,1956,2181,803,2756,916,1157,850,13313,3165,2884,4004
"New Hampshire",2022,1,308,NULL,53,10,12,NULL,18,NULL,NULL,NULL,62,15,46,57
"North Carolina",2020,8,1890,32,389,69,91,24,83,30,38,14,379,106,185,205
"Alabama",2021,1,1570,20,205,36,65,21,73,22,25,24,325,67,434,460
"Alaska",2020,1,83,NULL,19,NULL,NULL,0,NULL,0,0,0,17,NULL,2,2
"Rhode Island",2022,4,170,0,40,NULL,16,0,NULL,NULL,NULL,0,44,11,NULL,NULL
"Oregon",2021,9,932,NULL,168,32,41,NULL,36,12,NULL,14,152,42,210,226
"Virginia",2022,9,1237,16,282,42,45,17,50,20,25,78,259,65,43,64
"Oklahoma",2022,6,734,NULL,141,27,26,10,53,NULL,NULL,57,201,35,12,27
"Puerto Rico",2021,2,583,13,89,63,51,13,21,16,22,NULL,111,24,28,32
"Iowa",2020,12,869,NULL,121,20,31,12,30,11,11,11,147,29,284,318
"Arizona",2021,3,1253,11,247,51,51,14,70,16,20,17,286,68,104,127
"South Carolina",2021,3,1021,16,196,32,50,14,52,15,16,NULL,219,58,100,114
"Washington",2022,7,1164,12,244,43,64,13,54,16,14,55,240,66,43,69
"Minnesota",2022,4,824,11,200,22,40,10,38,11,11,20,173,46,13,23
"District of Columbia",2022,4,96,0,23,NULL,0,0,0,0,0,0,25,10,NULL,NULL
"Nevada",2021,2,619,NULL,101,19,15,11,29,NULL,NULL,NULL,135,29,133,144
"South Carolina",2021,6,917,13,196,28,46,12,50,16,14,10,209,54,20,24
"Vermont",2020,9,106,0,27,NULL,NULL,0,NULL,0,0,0,29,NULL,0,0
"Utah",2020,3,372,NULL,71,17,23,12,19,12,NULL,NULL,87,17,0,0
"Oregon",2021,11,807,NULL,156,26,43,NULL,35,11,12,13,156,48,82,92
"Washington",2020,12,1270,12,249,45,77,13,47,15,NULL,12,245,61,192,215
"Colorado",2021,8,765,12,167,21,29,NULL,38,13,12,NULL,151,39,61,72
"Maryland",2020,4,1258,19,209,45,30,28,48,12,14,NULL,265,63,230,247
"Idaho",2020,7,267,NULL,52,14,12,NULL,16,NULL,NULL,0,62,16,27,28
"North Dakota",2022,1,165,NULL,25,14,NULL,NULL,11,NULL,NULL,NULL,30,10,28,31
"Wyoming",2020,2,85,0,18,NULL,0,0,13,NULL,0,0,19,NULL,0,0
"Oklahoma",2021,9,1033,11,153,35,30,12,59,NULL,10,NULL,233,36,276,310
"Mississippi",2022,5,558,NULL,115,23,32,11,38,11,15,NULL,148,38,0,15
"Wyoming",2022,1,111,NULL,18,NULL,NULL,0,10,NULL,0,0,24,NULL,16,18
"Indiana",2021,12,1688,15,273,57,46,21,99,22,27,11,334,71,369,401
"Wyoming",2021,12,105,NULL,17,NULL,NULL,NULL,NULL,NULL,0,0,21,NULL,19,20
"Nevada",2022,9,430,NULL,84,14,12,11,24,NULL,0,57,94,17,11,14
"Arkansas",2020,4,571,NULL,115,18,32,15,46,NULL,16,0,146,28,11,12
"Virginia",2022,7,1362,20,285,51,44,19,51,26,30,69,300,81,41,63
"Illinois",2021,7,1866,27,450,58,64,27,90,30,45,25,457,115,43,51
"District of Columbia",2021,1,148,NULL,23,10,0,0,NULL,0,NULL,0,39,10,31,40
"Pennsylvania",2022,1,3747,49,560,104,109,51,126,48,73,53,797,169,891,1029
"Nebraska",2021,6,287,NULL,66,13,14,10,15,0,NULL,NULL,66,15,0,NULL
"Arkansas",2020,7,626,12,123,27,26,11,40,14,14,NULL,161,30,49,54
"Alabama",2020,8,1222,16,185,25,53,20,67,17,18,22,286,69,215,230
"Missouri",2021,12,1473,25,263,39,53,25,76,26,31,NULL,326,69,218,233
"New Hampshire",2020,5,249,NULL,47,11,11,NULL,13,NULL,NULL,NULL,49,12,37,41
"North Dakota",2021,10,180,0,27,11,NULL,NULL,11,NULL,0,0,31,NULL,41,46
"Puerto Rico",2022,2,625,16,97,62,60,18,19,11,24,12,107,24,49,57
"Arizona",2022,6,1147,11,243,44,52,17,57,19,14,25,271,58,34,48
"Puerto Rico",2020,3,584,13,101,65,51,23,24,11,18,11,119,24,0,3
"South Dakota",2021,5,142,0,26,NULL,10,NULL,11,0,NULL,0,28,11,10,11
"Pennsylvania",2021,2,2903,53,536,87,85,36,104,44,55,39,654,136,421,498
"Delaware",2021,3,194,NULL,43,NULL,13,0,14,NULL,NULL,0,42,14,17,17
"Alaska",2021,2,77,NULL,17,0,NULL,0,NULL,NULL,NULL,0,16,NULL,NULL,NULL
"Puerto Rico",2021,7,552,14,98,60,59,13,21,10,14,0,101,28,13,13
"Iowa",2021,12,741,10,129,25,22,12,40,12,11,11,167,30,117,128
"New York",2021,1,2111,19,312,56,42,44,58,32,28,27,454,65,595,647
"Indiana",2022,7,1202,15,260,47,44,15,75,21,25,12,281,60,38,55
"New York",2022,2,1698,24,309,46,36,38,57,33,28,28,435,64,227,289
"District of Columbia",2021,2,134,0,23,NULL,0,0,NULL,0,0,0,32,13,22,32
"Minnesota",2022,5,805,11,186,29,48,10,38,13,11,18,162,41,23,38
"Michigan",2022,8,1799,22,399,58,71,18,86,24,33,81,479,105,49,84
"Colorado",2021,11,1031,11,157,28,43,NULL,49,16,19,10,168,46,257,277
"Massachusetts",2020,7,960,14,231,30,24,11,40,15,20,12,207,35,36,50
"Louisiana",2021,7,914,21,177,34,37,11,40,22,19,12,241,54,66,72
"Indiana",2020,11,1710,24,260,52,58,17,89,22,31,13,313,65,423,467
"Connecticut",2021,11,628,13,126,16,24,12,24,15,13,13,130,32,35,39
"North Dakota",2020,9,147,NULL,26,NULL,10,NULL,13,NULL,0,0,30,12,20,22
"Delaware",2021,10,205,NULL,41,NULL,12,NULL,13,0,NULL,0,42,15,25,27
"Kansas",2021,11,562,NULL,102,18,19,11,27,NULL,13,NULL,123,25,70,78
"Idaho",2022,3,295,NULL,62,12,14,NULL,18,NULL,NULL,NULL,61,17,21,21
"Rhode Island",2022,2,218,NULL,42,NULL,11,0,10,0,NULL,NULL,52,12,24,32
"New York",2021,11,1614,24,318,47,39,42,62,33,22,32,426,63,128,147
"Iowa",2022,3,589,NULL,122,16,31,12,35,10,11,12,138,29,25,33
"South Dakota",2020,4,148,NULL,33,NULL,12,0,10,0,0,0,34,10,NULL,NULL
"Oklahoma",2020,3,747,15,159,30,34,23,62,10,12,NULL,219,37,7,9
"Missouri",2021,1,1582,21,264,41,60,24,68,25,34,13,329,64,339,375
"Florida",2022,1,5335,64,910,182,148,71,247,59,94,97,1128,359,903,1056
"Pennsylvania",2020,3,2508,45,548,74,86,86,147,51,63,51,620,133,17,17
"Maryland",2020,10,948,19,213,37,24,13,33,10,14,NULL,239,63,44,52
"United States",2020,11,64781,788,11645,2064,2707,822,2805,847,1031,660,13589,3169,10909,12103
"New Jersey",2020,11,1525,44,313,47,41,21,54,35,29,23,360,64,181,204
"Delaware",2022,2,228,NULL,48,13,13,NULL,12,0,NULL,0,38,20,31,39
"Rhode Island",2021,9,186,0,43,NULL,NULL,NULL,10,NULL,0,0,40,11,15,15
"Vermont",2021,12,128,NULL,27,NULL,NULL,NULL,NULL,NULL,0,0,30,NULL,13,13
"New York",2020,1,1629,19,322,50,42,57,73,30,28,24,456,60,123,132
"Rhode Island",2021,8,186,0,45,NULL,11,NULL,11,0,NULL,NULL,42,14,10,11
"North Carolina",2021,11,2001,37,403,79,82,38,96,35,41,24,398,110,146,163
"Mississippi",2020,3,597,NULL,131,25,33,22,47,11,15,NULL,152,31,5,5
"Washington",2020,11,1176,11,249,44,76,11,56,15,13,NULL,246,60,93,105
"Massachusetts",2022,7,1100,17,245,25,28,14,46,20,25,114,205,39,25,38
"United States",2022,6,52350,755,11408,1768,2113,739,2660,863,1048,1540,12520,2971,1403,2135
"Mississippi",2021,2,760,10,121,31,33,13,44,NULL,12,11,184,35,128,151
"New Hampshire",2020,12,293,NULL,55,NULL,13,0,14,NULL,NULL,NULL,60,13,53,59
"Nebraska",2021,4,312,NULL,68,14,15,NULL,18,NULL,NULL,NULL,70,19,12,15
"Michigan",2021,6,1758,19,387,62,78,21,90,22,37,10,464,101,84,100
"Delaware",2020,7,175,0,42,NULL,NULL,0,10,NULL,0,0,46,14,NULL,10
"Idaho",2021,2,276,0,59,11,12,NULL,14,11,NULL,0,63,19,22,29
"Michigan",2020,12,2613,25,410,68,113,33,96,25,34,11,550,125,686,759
"Mississippi",2020,4,668,11,117,28,41,21,43,10,16,NULL,168,33,60,64
"Massachusetts",2021,12,1275,18,247,34,36,23,51,23,29,14,258,43,148,160
"New Hampshire",2020,6,244,NULL,61,14,12,0,11,NULL,NULL,NULL,53,13,23,25
"Indiana",2021,7,1165,15,262,43,41,15,75,21,23,13,269,64,28,36
"Alabama",2022,5,933,24,193,24,39,15,50,18,23,17,254,54,16,14
"New Hampshire",2021,7,220,NULL,51,10,NULL,0,13,NULL,NULL,NULL,54,11,NULL,NULL
"Nebraska",2020,11,521,NULL,70,14,19,NULL,21,NULL,NULL,10,75,21,166,186
"Kentucky",2021,2,1046,17,196,34,28,14,55,23,19,14,232,39,162,191
"North Dakota",2021,9,145,NULL,26,NULL,NULL,NULL,10,0,NULL,NULL,28,NULL,19,18
"Maryland",2020,11,1039,19,201,29,26,15,29,12,13,NULL,249,62,128,144
"Hawaii",2020,2,229,NULL,46,13,NULL,12,10,NULL,NULL,0,64,15,0,0
"Florida",2020,6,3914,42,851,131,130,47,212,47,59,59,928,298,199,240
"Montana",2020,12,266,NULL,41,NULL,11,NULL,11,NULL,NULL,NULL,48,12,78,89
"Tennessee",2022,5,1347,17,284,45,51,20,84,16,23,24,351,81,21,33
